TXT_KEY_BUILDING_SHRINE_OF_SIRONA_HELP	[ICON_BULLET]Allows you to heal one of your units per turn. [NEWLINE][ICON_BULLET]Half cost with [LINK=RELIGION_BROTHERHOOD_OF_WARDENS]Brotherhood of Wardens[\\LINK]
TXT_KEY_BUILDING_TEMPLE_OF_THE_OVERLORDS_HELP	[ICON_BULLET][LINK=UNIT_WARRIOR]Warriors[\\LINK] can be sacrificed at a Temple of the Undertow and turned into the [LINK=UNIT_DROWN]Drown[\\LINK].
TXT_KEY_CIV_CALABIM_PEDIA	[TAB]The Calabim society is a brutal hierarchy, where ancient Vampire aristocrats lord their power over human cattle through the intermediate ranks of Bloodpets, Moroi, the ambitious younger vassals they have Spawned. They care little for the happiness of their subjects, as their [LINK=BUILDING_GOVERNORS_MANOR]Governor's Manors[\\LINK] turn fear and anguish into productivity. Their armies are mostly cannon fodder. Their real strength lies with the few [LINK=PROMOTION_VAMPIRE]Vampiric[\\LINK] officers who take the field. [PARAGRAPH][LINK=PROMOTION_VAMPIRE]Vampiric[\\LINK] units can refresh themselves by [LINK=SPELL_FEED]Feeding[\\LINK] on lesser souls, and gain great power by [LINK=SPELL_FEAST]Feasting[\\LINK] on citizens in their cities. [LINK=UNIT_LOSHA]Losha Valas[\\LINK], [LINK=UNIT_VAMPIRE_LORD]Vampire Lords[\\LINK], [LINK=UNIT_BRUJAH]Brujah[\\LINK], and [LINK=UNIT_BROOD_GUARD]Brood Guards[\\LINK] start with Vampire promotion. Once you have leaned [LINK=TECH_FEUDALISM]Feudalism[\\LINK], living units of at least level 7 (or level 3 if a [LINK=UNIT_MOROI]Moroi[\\LINK] ) may use the [LINK=literal]Gift Vampirism[\\LINK] ability to become vampires. This requires that the unit be in a city with a [LINK=BUILDING_GOVERNORS_MANOR]Governor's Manor[\\LINK] or on the same tile as another Vampire. [PARAGRAPH]Vampires can learn Mage-level magic in the [LINK=BONUS_MANA_BODY]Body[\\LINK], [LINK=BONUS_MANA_DEATH]Undeath[\\LINK], [LINK=BONUS_MANA_MIND]Mind[\\LINK], and [LINK=BONUS_MANA_SHADOW]Shadow[\\LINK] spheres. When a new Vampire is Spawned, it may automatically learn such magic as its Sire knew. That includes those spell sphere as well as the [LINK=PROMOTION_ARCANE]Arcane[\\LINK], [LINK=PROMOTION_UNHOLY_TAINT]Unholy Taint[\\LINK], [LINK=PROMOTION_SUMMONER]Summoner[\\LINK], [LINK=PROMOTION_SUNDERED]Sundered[\\LINK], [LINK=PROMOTION_STIGMATA]Stigmata[\\LINK], [LINK=PROMOTION_TWINCAST]Twincast[\\LINK], [LINK=PROMOTION_EXTENSION1]Spell Extension I[\\LINK], and [LINK=PROMOTION_EXTENSION2]Spell Extension II[\\LINK] promotions. [PARAGRAPH:2]The Age of Ice almost spelled the end of the vampires. When the vast sheets spread over the once-fertile land, their main source of food, humanity, started to become scarce and ever more concentrated in small tribes. Fearing a fate worse than death-the shadowy almost-death of a vampire deprived of fresh nourishment for centuries-most vampires tried to cling to the ever-shrinking communities of survivors. A lone vampire trapped in a small group of people quickly switches from hunter to prey. One by one, the vampires were dispatched to the afterlife. [PARAGRAPH:1]Of those few vampires who escaped the hunters, most took to a feral existence, living off whatever inferior blood they could scavenge in the wild, preying off the occasional human unfortunate enough to be caught alone. But some wise few realized that the only path to survival lay in making the natural transition from parasite to master. [PARAGRAPH:1]Led by the ancient siblings Alexis and Flauros, a small group of surviving vampires "adopted" a rag-tag tribe of humans. Using their powers as immortals, unaffected by cold, or exhaustion, gifted with incredible vision and speed, they made sure the tribe had plenty of food. And all they asked in return was an endless, expendable resource: A few drops of blood. But a vampire's powers are not restricted to supernatural senses and strength-their great power is in the mind. [PARAGRAPH:1]Slowly but surely, using their natural powers of guile and persuasion, and dangling the "Dark Gift" as bait to lure the best and strongest humans into helping them, the vampires wormed their way to the top of their little society. Few wished to oppose them and risk losing their valuable hunting skills. Those who did had accidents, or simply disappeared. [PARAGRAPH:1]When the humans finally realized what was happening, it was too late. They were trapped in a hellish situation, little more than cattle for a growing class of parasitic nobility, and they had been trapped there of their own free will. [PARAGRAPH:1]Now, Flauros and Alexis are the Grand Prince and Princess of a depraved and hopeless society of bloodpets and slaves, controlled by the Grand Broods, the vampire families that rule each city as their own personal estate farms, living in decadent luxury, and sating their lust for blood at will. The Calabim are the apex of vampire evolution, an abomination that is the natural enemy of all holy nations. 
TXT_KEY_CIV_INFERNAL_HELP	Gain [LINK=UNIT_MANES]Manes[\\LINK] when Evil units die. [NEWLINE][ICON_BULLET]Cities start with free buildings and The Ashen Veil religion[NEWLINE][ICON_BULLET]Cities gradually spread Hell terrain[NEWLINE][ICON_BULLET]The Infernal Pact ritual allows a player to summon one of the even Infernal leaders at random and choose to switch to control this new player. It may be used 7 times in total, but only 3 times per team[NEWLINE][ICON_BULLET]The Infernals enter the world by taking over the best available rival city where [LINK=RELIGION_THE_ASHEN_VEIL]The Ashen Veil[\\LINK] religion is present. Otherwise, their units are placed on a random tile with a Hellfire improvement. 
TXT_KEY_CIV_MALAKIM_HELP	Disciples alone in the [LINK=TERRAIN_DESERT]desert[\\LINK] gain the [LINK=PROMOTION_EREMITE]Eremite[\\LINK] promotion, increasing their passive xp gain and strength as spellcasters. [NEWLINE][ICON_BULLET][LINK=LEADER_VARN]Varn[\\LINK] may found [LINK=RELIGION_THE_EMPYREAN]The Empyrean[\\LINK] at [LINK=TECH_WAY_OF_THE_WISE]Way of the Wise[\\LINK] rather than requiring [LINK=TECH_HONOR]Honor[\\LINK]
TXT_KEY_CIV_MERCURIANS_HELP	Gains [LINK=UNIT_ANGEL]Angels[\\LINK] whenever Good units die. [NEWLINE][ICON_BULLET]Hell terrain heals faster in this civ's territory[NEWLINE][ICON_BULLET]The Open Mercurian Gate ability (which can be used in a city containing a Mercurian Gate) summons this Basium as a teammate and grants the option to switch to control this new player[NEWLINE][ICON_BULLET]The Basium unit is the avatar of the leader, which looses its traits when the unit dies[NEWLINE][ICON_BULLET]Once Basium is killed, another player may use the Call Mercurian Reinforcements ability (which requires a Mercurian Gate) to bring him back with an army of angels. It also grants a peace and a diplomatic bonus with him. [NEWLINE][ICON_BULLET][LINK=RELIGION_THE_ASHEN_VEIL]The Ashen Veil[\\LINK] and [LINK=RELIGION_OCTOPUS_OVERLORDS]The Undertow[\\LINK] religions are automatically removed from Mercurian cities
TXT_KEY_CIV_SIDAR_HELP	The [LINK=PROMOTION_GREY]Grey[\\LINK] are those who have begun to Wane, using a ritual the Once-Elves smuggled out of the Netherworld. This "gift from Arawn" is in truth a trap of Laroth, who claims larger portions of souls as units level up. By the time they can purchase [LINK=PROMOTION_IMMORTAL]Immortality[\\LINK] (with knowledge of [LINK=TECH_DIVINE_ESSENSE]Divine Essense[\\LINK]) at level 7, there is no chance to return as [LINK=UNIT_ANGEL]Angels[\\LINK] or [LINK=UNIT_MANES]Demons[\\LINK] after death. The racial trait also grants resistance to Death damage, improves the odds of withdrawing from combat, and may randomly grant [LINK=PROMOTION_HIDDEN]Hidden[\\LINK]. It blocks [LINK=PROMOTION_DEATH1]Undeath [\\LINK] [LINK=PROMOTION_AFFINITY_DEATH]magic[\\LINK] and [LINK=PROMOTION_MORALE]Morale[\\LINK]. At level 7 a Grey unit may complete the [LINK=SPELL_WANE]Wane[\\LINK] ritual to become a [LINK=UNIT_SHADE]Shade[\\LINK] and settle down in a city as a Great Person. The Sidar Palace improves all Specialists, including settled Great Persons, and makes any units in domestic territory (but outside of cities) invisible until they choose to reveal themselves. The Sidar capital is not revealed to other players through embassies, and their current line of sight is not shared with other players through the Overcouncil Share Maps resolution or the Eyes and Ears Network. 
TXT_KEY_CIVIC_ARETE_HELP	[ICON_BULLET]Allows [LINK=IMPROVEMENT_MINE]Mines[\\LINK] and [LINK=IMPROVEMENT_QUARRY]Quarries[\\LINK] to be built on [LINK=TERRAIN_PEAK]Peaks[\\LINK][NEWLINE][ICON_BULLET]Requires the Runes of Kilmorph OR Ringgivers as State Religion
TXT_KEY_CIVIC_OVERCOUNCIL_PEDIA	The Overcouncil is founded when [LINK=RELIGION_THE_EMPYREAN]The Empyrean[\\LINK] is founded. It can only be joined by Neutral or Good players that have researched the Way of the Wise technology. Although they don't have to worship Lugus to join, they can't be members of [LINK=CIVIC_UNDERCOUNCIL]The Undercouncil[\\LINK] or have [LINK=RELIGION_COUNCIL_OF_ESUS]The Council of Esus[\\LINK] as their state religion. [NEWLINE][NEWLINE]Being a member of the Overcouncil grants a significant diplomacy bonus with other members. It also forces members to comply with any resolutions that the Overcouncil has voted and agreed on, unless the player wants to defy and leave the Overcouncil. Overall these resolutions can be powerful and restrictive. Players that expect to remain members of the Overcouncil should expect to enjoy the advantages of the friendships it allows, but also be subject to its control. That is unless they maintain the relationships required to be voted the head of the council and get to pick the decrees themselves. [NEWLINE][NEWLINE]Each member of the Overcouncil has one vote on resolutions. Both the Empyrean hero Chalid Astrakein and the Malakim hero Teutorix grant the players that control them an additional vote on the Overcouncil. [NEWLINE][NEWLINE]The Overcouncil can vote on the following resolutions:[NEWLINE][NEWLINE][TAB]Head Councilor: The head councilor selects all other resolutions[NEWLINE][TAB]Enlist the Radiant Guard: Grants a Radiant Guard unit to each member, and allows members to ignore the state religion requirement for building more[NEWLINE][TAB]Share Maps: All members gain the maps of all other members, and meet all players other members have met[NEWLINE][TAB]Force War: Force war on a non-member[NEWLINE][TAB]Assign City: Return control of a city to a member[NEWLINE][TAB]Single Currency: +1 Trade Route in all cities[NEWLINE][TAB]Open Markets: Trade Routes with all foreign cities[NEWLINE][TAB]Global Civic Liberty: All members must adopt the Liberty civic[NEWLINE][TAB]Defensive Pact with all members: All members enter into a defensive pact[NEWLINE][TAB]Outlaw Undead: No members can use Death mana, and those with corrupt Death Affinity are converted to the moral type[NEWLINE][TAB]Outlaw Dimensional mana: No members can use Dimensional mana[NEWLINE][TAB]Outlaw Entropy mana: No members can use Entropy mana[NEWLINE][TAB]Outlaw Shadow mana: No members can use Shadow mana[NEWLINE][TAB]Outlaw Gulagarm: No members can use Gulagarm[NEWLINE][TAB]Outlaw Razorweed: No members can use Razorweed[NEWLINE][TAB]Outlaw Sheut Stone: No members can use Sheut Stone
TXT_KEY_CIVIC_UNDERCOUNCIL_PEDIA	The Undercouncil it is founded at the same time as [LINK=RELIGION_COUNCIL_OF_ESUS]The Council of Esus[\\LINK]. It can only be joined by Neutral or Evil players that have researched the Way of the Wicked technology. Although they don't have to worship the Council of Esus to join, they can't be members of [LINK=CIVIC_OVERCOUNCIL]The Overcouncil[\\LINK] or have [LINK=RELIGION_THE_EMPYREAN]The Empyrean[\\LINK] as their state religion. [NEWLINE][NEWLINE]The Undercouncil is run by money; nearly all of its resolutions cost gold from its members. They can vote to declare war on a common enemy, and open borders to each other. There are no restrictive resolutions on the Undercouncil, they never vote to enforce a civic or outlaw anything but players don't get the larger attitude modifier members of the Overcouncil share with each other. [NEWLINE][NEWLINE]The Undercouncil can vote on the following resolutions:[NEWLINE][NEWLINE][TAB]Head Councilor: The head councilor selects all other resolutions[NEWLINE][TAB]Force War: Force war on a non-member[NEWLINE][TAB]Develop Secret Codes: Grants a free Great Sage to each player, players can only trade techs with Undercouncil members[NEWLINE][TAB]Enlist the Nightwatch: Grants a Nightwatch unit to each member, and allows members to ignore the state religion requirement for building more[NEWLINE][TAB]Fund Dissidents: Has a chance to create unhappiness in non-Undercouncil cities[NEWLINE][TAB]Gambling Ring: Reduces the cost of Gambling Houses by 75%, raises the global crime rate[NEWLINE][TAB]Slave Trade: Allows members to buy and sell slaves, raises the global crime rate[NEWLINE][TAB]Smuggling Ring: Allows members to build Smugglers' Ports in their coastal cities, raises the global crime rate[NEWLINE][TAB]Open Borders: All members open borders to each other
