TXT_KEY_BUG_OPT_ACTIONS__ASKDECLAREWARUNITS_TEXT	提示宣战
TXT_KEY_BUG_OPT_ACTIONS__ASKDECLAREWARUNITS_HOVER	勾选后，当你移动至含有敌对单位的地块时，会提示你是否宣战。在没有开放边境的情况下进入敌方领土时，总会给出该提示。
TXT_KEY_BUG_OPT_ACTIONS__SENTRYHEALING_TEXT	疗伤时警戒
TXT_KEY_BUG_OPT_ACTIONS__SENTRYHEALING_HOVER	勾选后，奉命疗伤的单位在发现危险时会被唤醒，如同警戒单位一般。
TXT_KEY_BUG_OPT_ACTIONS__SENTRYHEALINGONLYNEUTRAL_TEXT	仅限中立领土
TXT_KEY_BUG_OPT_ACTIONS__SENTRYHEALINGONLYNEUTRAL_HOVER	勾选后，若已启用疗伤时警戒，单位仅在中立领土中才会因危险而唤醒。这样可避免你的进攻部队在敌方城市外每回合被唤醒，也避免友方领土内的防御单位被反复唤醒。
TXT_KEY_BUG_OPT_ACTIONS__IGNOREHARMLESSBARBARIANS_TEXT	忽略无害蛮族
TXT_KEY_BUG_OPT_ACTIONS__IGNOREHARMLESSBARBARIANS_HOVER	勾选后，若边境旁的蛮族单位无法进入你的领土，则不会触发警告。
TXT_KEY_BUG_OPT_ACTIONS__PRECHOPFORESTS_TEXT	预砍森林
TXT_KEY_BUG_OPT_ACTIONS__PRECHOPFORESTS_HOVER	勾选后，奉命砍伐森林的工人会在剩余1回合时停下。再次下达命令即可完成砍伐。
TXT_KEY_BUG_OPT_ACTIONS__PRECHOPIMPROVEMENTS_TEXT	预砍设施
TXT_KEY_BUG_OPT_ACTIONS__PRECHOPIMPROVEMENTS_HOVER	勾选后，奉命建造会清除森林之设施的工人会在剩余1回合时停下。再次下达命令即可完成该设施。
TXT_KEY_BUG_OPT_CITYBAR__AIRPORTICONS_TEXT	机场图标
TXT_KEY_BUG_OPT_CITYBAR__AIRPORTICONS_HOVER	勾选后，在拥有机场的城市，其城市栏上方会显示机场图标。
TXT_KEY_BUG_OPT_CITYBAR__STARVATIONTURNS_TEXT	距饥荒回合
TXT_KEY_BUG_OPT_CITYBAR__STARVATIONTURNS_HOVER	勾选后，若城市正在缩减，显示距离城市损失人口还有多少回合。
TXT_KEY_BUG_OPT_CITYBAR__HEALTH_TEXT	健康
TXT_KEY_BUG_OPT_CITYBAR__HEALTH_HOVER	勾选后，显示城市的净健康值（[ICON_HEALTHY] 或 [ICON_UNHEALTHY]）。
TXT_KEY_BUG_OPT_CITYBAR__HAPPINESS_TEXT	快乐
TXT_KEY_BUG_OPT_CITYBAR__HAPPINESS_HOVER	勾选后，显示城市的净快乐值（[ICON_HAPPY] 或 [ICON_UNHAPPY]）。
TXT_KEY_BUG_OPT_CITYBAR__HURRYANGER_TEXT	催造怒气
TXT_KEY_BUG_OPT_CITYBAR__HURRYANGER_HOVER	勾选后，显示因鞭策而产生的愤怒人口数（[ICON_ANGRYPOP]），以及计时器剩余回合数。
TXT_KEY_BUG_OPT_CITYBAR__DRAFTANGER_TEXT	征召怒气
TXT_KEY_BUG_OPT_CITYBAR__DRAFTANGER_HOVER	勾选后，显示因征召而产生的愤怒人口数（[ICON_ANGRYPOP]），以及计时器剩余回合数。
TXT_KEY_BUG_OPT_CITYBAR__FOODASSIST_TEXT	成长详情
TXT_KEY_BUG_OPT_CITYBAR__FOODASSIST_HOVER	勾选后，显示更详细的成长信息（成长、缩减、饥荒、停滞）。
TXT_KEY_BUG_OPT_CITYBAR__BASEVALUES_TEXT	基础值
TXT_KEY_BUG_OPT_CITYBAR__BASEVALUES_HOVER	勾选后，悬浮时按住 CTRL 可显示大多数项目的基础值（不含加成）：产能、贸易、商业、维护费、伟人。
TXT_KEY_BUG_OPT_CITYBAR__BASEPRODUCTION_TEXT	基础产能
TXT_KEY_BUG_OPT_CITYBAR__BASEPRODUCTION_HOVER	勾选后，除当前回合的产能外，另显示基础产能（不含溢出、鞭策与砍伐）。
TXT_KEY_BUG_OPT_CITYBAR__BUILDINGACTUALEFFECTS_TEXT	建筑实际效果
TXT_KEY_BUG_OPT_CITYBAR__BUILDINGACTUALEFFECTS_HOVER	勾选后，当城市正在建造某建筑时，显示它将产生的 [ICON_COMMERCE]、[ICON_HAPPY]、[ICON_HEALTHY] 与 [ICON_GREATPEOPLE] 的实际产出。
TXT_KEY_BUG_OPT_CITYBAR__HURRYASSIST_TEXT	城市栏
TXT_KEY_BUG_OPT_CITYBAR__HURRYASSIST_HOVER	勾选后，显示催造（鞭策与/或购买）当前生产项目的成本（[ICON_CITIZEN] 或 [ICON_GOLD]）与溢出（[ICON_PRODUCTION] 与 [ICON_GOLD]）。
TXT_KEY_BUG_OPT_CITYBAR__HURRYASSISTINCLUDECURRENT_TEXT	计入当前
TXT_KEY_BUG_OPT_CITYBAR__HURRYASSISTINCLUDECURRENT_HOVER	勾选后，在计算鞭策催造所得的溢出（[ICON_PRODUCTION] 与/或 [ICON_GOLD]）时，计入当前回合的产能。
TXT_KEY_BUG_OPT_CITYBAR__TRADEDETAIL_TEXT	贸易
