TXT_KEY_MAPSCRIPTTOOLS_DENT_1_VOLCANO	老大哥的末日
TXT_KEY_MAPSCRIPTTOOLS_DENT_1_PEAK	老大哥峰
TXT_KEY_MAPSCRIPTTOOLS_DENT_1_FLAT	守望者隐居地
TXT_KEY_MAPSCRIPTTOOLS_DENT_1_WATER	守望者水潭
TXT_KEY_MAPSCRIPTTOOLS_DENT_1_HILLS	老大哥山脉
TXT_KEY_MAPSCRIPTTOOLS_DENT_2_VOLCANO	世界之孔
TXT_KEY_MAPSCRIPTTOOLS_DENT_2_PEAK	巨坑峰
TXT_KEY_MAPSCRIPTTOOLS_DENT_2_FLAT	铁锤憩地
TXT_KEY_MAPSCRIPTTOOLS_DENT_2_WATER	世界之孔
TXT_KEY_MAPSCRIPTTOOLS_DENT_2_HILLS	巨坑高地
TXT_KEY_MAPSCRIPTTOOLS_DENT_3_VOLCANO	咆哮尖峰
TXT_KEY_MAPSCRIPTTOOLS_DENT_3_PEAK	巨脊峰
TXT_KEY_MAPSCRIPTTOOLS_DENT_3_FLAT	失落谷地
TXT_KEY_MAPSCRIPTTOOLS_DENT_3_WATER	遗忘幽洼
TXT_KEY_MAPSCRIPTTOOLS_DENT_3_HILLS	巨脊山脉
TXT_KEY_MAPSCRIPTTOOLS_DENT_4_VOLCANO	深渊之门
TXT_KEY_MAPSCRIPTTOOLS_DENT_4_PEAK	天界王座
TXT_KEY_MAPSCRIPTTOOLS_DENT_4_FLAT	乐园草甸
TXT_KEY_MAPSCRIPTTOOLS_DENT_4_WATER	神圣浴池
TXT_KEY_MAPSCRIPTTOOLS_DENT_4_HILLS	天界之带
TXT_KEY_MAPSCRIPTTOOLS_DENT_5_VOLCANO	恶魔之息
TXT_KEY_MAPSCRIPTTOOLS_DENT_5_PEAK	世界之巅
TXT_KEY_MAPSCRIPTTOOLS_DENT_5_FLAT	女妖游乐场
TXT_KEY_MAPSCRIPTTOOLS_DENT_5_WATER	魔鬼水潭
TXT_KEY_MAPSCRIPTTOOLS_DENT_5_HILLS	嚎叫屏障
TXT_KEY_MAPSCRIPTTOOLS_DENT_6_VOLCANO	女巫之釜
TXT_KEY_MAPSCRIPTTOOLS_DENT_6_PEAK	术士之帽
TXT_KEY_MAPSCRIPTTOOLS_DENT_6_FLAT	精灵幽谷
TXT_KEY_MAPSCRIPTTOOLS_DENT_6_WATER	萨提尔之湖
TXT_KEY_MAPSCRIPTTOOLS_DENT_6_HILLS	巫师山脉
TXT_KEY_MAPSCRIPTTOOLS_DENT_PLANETFALL_VOLCANO	冒烟者
TXT_KEY_MAPSCRIPTTOOLS_DENT_PLANETFALL_PEAK	至高山脊
TXT_KEY_MAPSCRIPTTOOLS_DENT_PLANETFALL_FLAT	墨菲的蠢地
TXT_KEY_MAPSCRIPTTOOLS_DENT_PLANETFALL_WATER	阿尔法洼地
TXT_KEY_MAPSCRIPTTOOLS_DENT_PLANETFALL_HILLS	席德高地
TXT_KEY_MAPSCRIPTTOOLS_DENT_MARSNOW_VOLCANO	火星辉光
TXT_KEY_MAPSCRIPTTOOLS_DENT_MARSNOW_PEAK	奥林帕斯山
TXT_KEY_MAPSCRIPTTOOLS_DENT_MARSNOW_FLAT	柯林的蠢地
TXT_KEY_MAPSCRIPTTOOLS_DENT_MARSNOW_WATER	奥尔德林之饮
TXT_KEY_MAPSCRIPTTOOLS_DENT_MARSNOW_HILLS	阿姆斯特朗之障
TXT_KEY_MAPSCRIPTTOOLS_BIGBOG_1_LAKE	大泥沼湖
TXT_KEY_MAPSCRIPTTOOLS_BIGBOG_1_LAND	大泥沼
TXT_KEY_MAPSCRIPTTOOLS_BIGBOG_2_LAKE	黑水盆地
TXT_KEY_MAPSCRIPTTOOLS_BIGBOG_2_LAND	黑水荒野
TXT_KEY_MAPSCRIPTTOOLS_BIGBOG_3_LAKE	渣滓沼泽
