TXT_KEY_MAP_EREBUS_MOUNTAINS_50_PEAKS	山峰减少 50%
TXT_KEY_MAP_EREBUS_MOUNTAINS_60_PEAKS	山峰减少 60%
TXT_KEY_MAP_EREBUS_MOUNTAINS_70_PEAKS	山峰减少 70%
TXT_KEY_MAP_EREBUS_MOUNTAINS_80_PEAKS	山峰减少 80%
TXT_KEY_MAP_EREBUS_MOUNTAINS_90_PEAKS	山峰减少 90%
TXT_KEY_MAP_EREBUS_MOUNTAINS_NO_PEAKS	无山峰
TXT_KEY_MAP_EREBUS_STARTING_POSITIONS	起始位置
TXT_KEY_MAP_EREBUS_STARTING_POSITIONS_EREBUS	埃雷布斯
TXT_KEY_MAP_EREBUS_STARTING_POSITIONS_ORIGINAL	默认
TXT_KEY_MAP_FRACTURED_WORLD_WATER	水域（占地块 %）
TXT_KEY_MAP_FRACTURED_WORLD_DESERT	沙漠（占地块 %）
TXT_KEY_MAP_FRACTURED_WORLD_WATER_85	岛屿世界（85%）
TXT_KEY_MAP_FRACTURED_WORLD_WATER_80	水世界（80%）
TXT_KEY_MAP_FRACTURED_WORLD_WATER_75	海洋世界（75%）
TXT_KEY_MAP_FRACTURED_WORLD_WATER_70	类地球（70%）
TXT_KEY_MAP_FRACTURED_WORLD_WATER_65	大陆型（65%）
TXT_KEY_MAP_FRACTURED_WORLD_WATER_60	海洋型（60%）
TXT_KEY_MAP_FRACTURED_WORLD_WATER_50	蛛网世界（50%）
TXT_KEY_MAP_FRACTURED_WORLD_WATER_40	泛大陆（40%）
TXT_KEY_MAP_FRACTURED_WORLD_WATER_30	湖泊世界（30%）
TXT_KEY_MAP_FRACTURED_WORLD_WATER_20	池塘世界（20%）
TXT_KEY_MAP_FRACTURED_WORLD_WATER_10	沙漠世界（10%）
TXT_KEY_MAP_FRACTURED_WORLD_PEAKS	山峰（占陆地 %）
TXT_KEY_MAP_FRACTURED_WORLD_PEAKS_3	平坦（3%）
TXT_KEY_MAP_FRACTURED_WORLD_PEAKS_6	起伏（6%）
TXT_KEY_MAP_FRACTURED_WORLD_PEAKS_10	景致（10%）
TXT_KEY_MAP_FRACTURED_WORLD_PEAKS_15	丘陵（15%）
TXT_KEY_MAP_FRACTURED_WORLD_PEAKS_20	多峰（20%）
TXT_KEY_MAP_FRACTURED_WORLD_PEAKS_25	多山（25%）
TXT_KEY_MAP_FRACTURED_WORLD_TERRAIN	地形（沙漠、平原）
TXT_KEY_MAP_FRACTURED_WORLD_TERRAIN_WET	湿润（10%、30%）
TXT_KEY_MAP_FRACTURED_WORLD_TERRAIN_DAMP	潮湿（20%、25%）
TXT_KEY_MAP_FRACTURED_WORLD_TERRAIN_EARTHLIKE	类地球（30%、20%）
TXT_KEY_MAP_FRACTURED_WORLD_TERRAIN_DRY	干燥（35%、25%）
TXT_KEY_MAP_FRACTURED_WORLD_TERRAIN_PARCHED	焦干（40%、30%）
TXT_KEY_MAP_FRACTURED_WORLD_TERRAIN_MARSH	地形（沙漠、平原、沼泽）
TXT_KEY_MAP_FRACTURED_WORLD_TERRAIN_MARSH_WET	湿润（10%、25%、9%）
TXT_KEY_MAP_FRACTURED_WORLD_TERRAIN_MARSH_DAMP	潮湿（20%、22%、6%）
TXT_KEY_MAP_FRACTURED_WORLD_TERRAIN_MARSH_EARTHLIKE	类地球（30%、20%、4%）
TXT_KEY_MAP_FRACTURED_WORLD_TERRAIN_MARSH_DRY	干燥（35%、25%、3%）
TXT_KEY_MAP_FRACTURED_WORLD_TERRAIN_MARSH_PARCHED	焦干（40%、30%、2%）
TXT_KEY_MAP_FRACTURED_WORLD_WORLD_AGE	世界年龄
TXT_KEY_MAP_FRACTURED_WORLD_WORLD_AGE_CREATION	创世
TXT_KEY_MAP_FRACTURED_WORLD_WORLD_AGE_3	3 纪元
TXT_KEY_MAP_FRACTURED_WORLD_WORLD_AGE_6	6 纪元
TXT_KEY_MAP_FRACTURED_WORLD_WORLD_AGE_12	12 纪元
TXT_KEY_MAP_FRACTURED_WORLD_WORLD_AGE_18	18 纪元
TXT_KEY_MAP_FRACTURED_WORLD_WORLD_AGE_24	24 纪元
TXT_KEY_MAP_FRACTURED_WORLD_WORLD_AGE_36	36 纪元
TXT_KEY_MAP_FRACTURED_WORLD_WORLD_AGE_48	48 纪元
TXT_KEY_MAP_FRACTURED_WORLD_WORLD_AGE_72	72 纪元
TXT_KEY_MAP_FRACTURED_WORLD_WORLD_AGE_96	96 纪元
TXT_KEY_MAP_SCRIPT_CONTINENTS_SIZE	大陆尺寸
TXT_KEY_MAP_SCRIPT_NORMAL_CONTINENTS	普通大陆
TXT_KEY_MAP_SCRIPT_UNPREDICTABLE	难以预测
TXT_KEY_MAP_SCRIPT_SNAKY_CONTINENTS	蜿蜒大陆
TXT_KEY_MAP_SCRIPT_ISLANDS	岛屿
TXT_KEY_MAP_SCRIPT_ISLANDS_SIZE	岛屿尺寸
TXT_KEY_MAP_SCRIPT_TINY_ISLANDS	微型岛屿
TXT_KEY_MAP_SCRIPT_ISLAND_OVERLAP	岛屿重叠
TXT_KEY_MAP_SCRIPT_ISLAND_REGION_SEPARATE	岛屿区域分隔
TXT_KEY_MAP_SCRIPT_ISLANDS_MIXED_IN	岛屿混合分布
TXT_KEY_MAP_PANGAEA_SHORELINE	海岸线
TXT_KEY_MAP_PANGAEA_RANDOM	随机
TXT_KEY_MAP_PANGAEA_NATURAL	自然
TXT_KEY_MAP_PANGAEA_PRESSED	紧凑
TXT_KEY_MAP_PANGAEA_SOLID	密实
TXT_KEY_MAP_PERFECTWORLD_NEW_WORLD_RULES	新世界规则
TXT_KEY_MAP_PERFECTWORLD_NEW_WORLD_ANYWHERE	任意起始
TXT_KEY_MAP_PERFECTWORLD_NEW_WORLD_OLD_WORLD	旧世界起始
TXT_KEY_MAP_PERFECTWORLD_PANGAEA_RULES	泛大陆规则
TXT_KEY_MAP_PERFECTWORLD_PANGAEA_BREAK	打破泛大陆
TXT_KEY_MAP_PERFECTWORLD_PANGAEA_ALLOW	允许泛大陆
TXT_KEY_MAP_SCRIPT_RANDOM_ARCHIPELAGO	群岛
TXT_KEY_MAP_SCRIPT_RANDOM_EARTH3	Earth3
TXT_KEY_MAP_SCRIPT_RANDOM_EREBUS	埃雷布斯
TXT_KEY_MAP_SCRIPT_RANDOM_FRACTURED_WORLD	破碎世界
TXT_KEY_MAP_SCRIPT_RANDOM_INLAND_SEA	内海
TXT_KEY_MAP_SCRIPT_RANDOM_MEDIUM_AND_SMALL	中小型
TXT_KEY_MAP_SCRIPT_RANDOM_PANGAEA	泛大陆
TXT_KEY_MAP_SCRIPT_RANDOM_PLANETFALL	行星陨落
TXT_KEY_MAP_SCRIPT_RANDOM_SEA_HIGHLANDS	海上高地
TXT_KEY_MAP_SCRIPT_RANDOM_TECTONICS	板块构造
TXT_KEY_MAP_SCRIPT_RANDOM_YES	是
TXT_KEY_MAP_SCRIPT_RANDOM_NO	否
TXT_KEY_MAP_RINGWORLD_REGION_STRENGTH	区域强度
TXT_KEY_MAP_RINGWORLD_REGION_STRENGTH_NONE	无
TXT_KEY_MAP_RINGWORLD_REGION_STRENGTH_WEAK	弱
TXT_KEY_MAP_RINGWORLD_REGION_STRENGTH_MODERATE	中等
TXT_KEY_MAP_RINGWORLD_REGION_STRENGTH_STRONG	强
TXT_KEY_MAP_RINGWORLD_POLE_POSITION	极点位置
TXT_KEY_MAP_RINGWORLD_POLE_POSITION_NORTH_SOUTH	由北至南
TXT_KEY_MAP_RINGWORLD_POLE_POSITION_EQUATOR_SOUTH	由赤道至南
TXT_KEY_MAP_RINGWORLD_POLE_POSITION_NORTH_EQUATOR	由北至赤道
TXT_KEY_MAP_RINGWORLD_POLE_POSITION_NO_POLES	无极点
TXT_KEY_MAP_RINGWORLD_SHAPE	形状
TXT_KEY_MAP_RINGWORLD_SHAPE_SOLID	实心环
TXT_KEY_MAP_RINGWORLD_SHAPE_CONTINENTS	大陆
TXT_KEY_MAP_RINGWORLD_SHAPE_ISLANDS	岛屿
TXT_KEY_MAP_SCRIPT_MOUNTAIN_PATTERN	山脉图案
TXT_KEY_MAP_SCRIPT_SCATTERED	散布
TXT_KEY_MAP_SCRIPT_RIDGELINES	山脊线
TXT_KEY_MAP_SCRIPT_CLUSTERED	聚集
TXT_KEY_MAP_SCRIPT_MOUNTAIN_DENSITY	山脉密度
TXT_KEY_MAP_SCRIPT_DENSE_PEAKS	密集山峰
TXT_KEY_MAP_SCRIPT_NORMAL_PEAKS	普通山峰
TXT_KEY_MAP_SCRIPT_THIN_PEAKS	稀疏山峰
TXT_KEY_MAP_SCRIPT_WATER_SETTING	水体设置
TXT_KEY_MAP_SCRIPT_SMALL_LAKES	小型湖泊
TXT_KEY_MAP_SCRIPT_LARGE_LAKES	大型湖泊
TXT_KEY_MAP_SCRIPT_SEAS	海洋
TXT_KEY_MAP_SCRIPT_LARGE_SEAS	大型海洋
TXT_KEY_MAP_SCRIPT_LANDMASS_TYPE	陆块类型
TXT_KEY_MAP_SCRIPT_EARTH_70	类地球（70%% 水域）
TXT_KEY_MAP_SCRIPT_EARTH_60	60%% 水域
TXT_KEY_MAP_SCRIPT_PANGAEA	泛大陆
TXT_KEY_MAP_SCRIPT_LAKES	湖泊（30%% 水域）
TXT_KEY_MAP_SCRIPT_MEDITERRANEAN	地中海式
TXT_KEY_MAP_SCRIPT_TERRA	随机真实地球
TXT_KEY_MAP_SCRIPT_TERRA_OLD_WORLD_START	随机真实地球（旧世界起始）
TXT_KEY_MAP_SCRIPT_TECTONICS_ARITITY	干旱程度
TXT_KEY_MAP_SCRIPT_TECTONICS_ARITITY_ARID	干旱
TXT_KEY_MAP_SCRIPT_TECTONICS_ARITITY_NORMAL	普通
TXT_KEY_MAP_SCRIPT_TECTONICS_ARITITY_WET	湿润
TXT_KEY_MAP_SCRIPT_TECTONICS_ARITITY_NO_ICE	无冰
TXT_KEY_MAP_SCRIPT_TECTONICS_LANDSCAPE	地貌
