TXT_KEY_PEDIA_CATEGORY_MINOR_LEADER	次要领袖
TXT_KEY_LEADER_ANAGANTIOS_PEDIA	阿拉加休斯在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_LEADER_AVERAX_PEDIA	爱华拉克斯在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_LEADER_DUIN_PEDIA	狼人杜因·哈夫蒙在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_LEADER_BRAEDEN_PEDIA	沉默者布雷登在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_LEADER_OSTANES_PEDIA	欧斯坦斯队长在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_LEADER_ULDANOR_PEDIA	乌达诺尔队长在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_LEADER_SALLOS_PEDIA	萨洛斯公爵在官方剧本中登场。[NEWLINE][NEWLINE][TAB]萨洛斯原是帕特里亚帝国边陲一座又小又阴郁的公国里的一名士兵。他厌倦了自认为毫无意义的生活。当他俘获一名欢舞者时，便将这个生灵献祭出去，指望有什么东西能听到他的呼唤。他的呼唤被听见了，海勃雷姆作出回应，提出以七年的权力换取他与其后裔永世的效忠（当时他的妻子正怀着他们的儿子阿斯莫迪）。萨洛斯答应了。[PARAGRAPH:1]在那七年里，萨洛斯一路攀升，成了帕特里亚的一位公爵。期限一到，他便骤然死去；在熬过地狱的种种折磨之后，他在那里也成了统治者。[PARAGRAPH:1]凡人的灵魂能在恶魔的等级中晋升为公爵，实属罕见。他之所以能保住这一地位，是因为他的后裔始终恪守萨洛斯当年立下的誓约。他们组成了一个名为“萨莱奥斯之女”的家族秘密结社，奉行恶魔崇拜与乱伦（以保持萨洛斯血脉的纯正）。
TXT_KEY_LEADER_DUMANNIOS_PEDIA	杜曼尼奥斯在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_LEADER_FURIA_PEDIA	疯狂者芙蕾亚在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_LEADER_GOSEA_PEDIA	高希在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_LEADER_HAFGAN_PEDIA	流放者哈弗干在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
TXT_KEY_LEADER_JUDECCA_PEDIA	朱迪卡在官方剧本中登场。
TXT_KEY_LEADER_KANE_PEDIA	凯恩在官方剧本中登场，若启用“革命”游戏选项也可领导一场革命。
