TXT_KEY_PLE_UPGRADE_HELP	（CTRL：本格上的单位。[NEWLINE]ALT：全部单位）
TXT_KEY_PLE_CURRENT_MODE	这是当前模式
TXT_KEY_PLE_VIEW_MODE	[COLOR_HIGHLIGHT_TEXT]切换显示模式[COLOR_REVERT][NEWLINE]选择单位图标的显示方式：单行、多行，或分组排成若干行或列
TXT_KEY_PLE_MODE_STANDARD	将单位按钮排成单行显示
TXT_KEY_PLE_MODE_MULTILINE	将单位按钮排成多行显示
TXT_KEY_PLE_MODE_STACK_VERT	将单位按钮分组排成若干列
TXT_KEY_PLE_MODE_STACK_HORIZ	将单位按钮分组排成若干行
TXT_KEY_PLE_RESET_FILTERS	[COLOR_HIGHLIGHT_TEXT]重置筛选[COLOR_REVERT][NEWLINE]显示所有单位
TXT_KEY_PLE_RESET_FILTERS_ON	[COLOR_HIGHLIGHT_TEXT]重置筛选[COLOR_REVERT][NEWLINE]显示所有单位
TXT_KEY_PLE_FILTER_CANMOVE	[COLOR_HIGHLIGHT_TEXT]切换移动筛选[COLOR_REVERT][NEWLINE]隐藏可移动的单位
TXT_KEY_PLE_FILTER_CANMOVE_ON	[COLOR_HIGHLIGHT_TEXT]切换移动筛选[COLOR_REVERT][NEWLINE]显示可移动的单位
TXT_KEY_PLE_FILTER_BUG_CANMOVE	[COLOR_HIGHLIGHT_TEXT]切换移动筛选[COLOR_REVERT][NEWLINE]仅显示可移动的单位
TXT_KEY_PLE_FILTER_BUG_CANMOVE_ON	[COLOR_HIGHLIGHT_TEXT]切换移动筛选[COLOR_REVERT][NEWLINE]显示可移动和不可移动的单位
TXT_KEY_PLE_FILTER_CANTMOVE	[COLOR_HIGHLIGHT_TEXT]切换移动筛选[COLOR_REVERT][NEWLINE]隐藏不可移动的单位
TXT_KEY_PLE_FILTER_CANTMOVE_ON	[COLOR_HIGHLIGHT_TEXT]切换移动筛选[COLOR_REVERT][NEWLINE]显示不可移动的单位
TXT_KEY_PLE_FILTER_BUG_CANTMOVE	[COLOR_HIGHLIGHT_TEXT]切换移动筛选[COLOR_REVERT][NEWLINE]仅显示不可移动的单位
TXT_KEY_PLE_FILTER_BUG_CANTMOVE_ON	[COLOR_HIGHLIGHT_TEXT]切换移动筛选[COLOR_REVERT][NEWLINE]显示可移动和不可移动的单位
TXT_KEY_PLE_FILTER_WOUNDED	[COLOR_HIGHLIGHT_TEXT]切换生命筛选[COLOR_REVERT][NEWLINE]隐藏受伤的单位
TXT_KEY_PLE_FILTER_WOUNDED_ON	[COLOR_HIGHLIGHT_TEXT]切换生命筛选[COLOR_REVERT][NEWLINE]显示受伤的单位
TXT_KEY_PLE_FILTER_BUG_WOUNDED	[COLOR_HIGHLIGHT_TEXT]切换生命筛选[COLOR_REVERT][NEWLINE]仅显示受伤的单位
