AI_DIPLO_MAKE_PEACE_WITH_1	我们再也不能袖手旁观、坐视这场杀戮了！你必须结束与%s2的战争！
AI_DIPLO_MAKE_PEACE_WITH_2	这场战争已经打得够久了！和%s2讲和吧。
TXT_KEY_BONUS_EXPORTS_PLAYER	[SPACE]（%s2_player正在出口%d1_num_bonus）[SPACE]
TXT_KEY_BONUS_IMPORTS_PLAYER	[SPACE]（%s2_player正在进口%d1_num_bonus）[SPACE]
TXT_KEY_CIVIC_ATTITUDE_CHANGE	[SPACE]与所有以下势力的外交关系[SPACE]
TXT_KEY_ESPIONAGE_EMBASSY_MOD	%d1%：因在其国内设有大使馆。
TXT_KEY_FREE_TRADE_AGREEMENT_MOD	%d1%：来自自由贸易协定
TXT_KEY_GAMEOPTION_ADVANCED_DIPLOMACY	高级外交
TXT_KEY_GAMEOPTION_ADVANCED_DIPLOMACY_HELP	高级外交新增多种外交贸易选项，从设立大使馆到交易军事与工人单位皆可。
TXT_KEY_CONCEPT_ADVANCED_DIPLOMACY	高级外交
TXT_KEY_CONCEPT_ADVANCED_DIPLOMACY_PEDIA	[H1]高级外交[\\H1][PARAGRAPH:2]高级外交（通过“高级战术”选项启用）极大地改变了外交在标准文明中的运作方式。新增了许多贸易选项，各有其收益，也各有潜在的弊端。下面列出这些新选项。（警告：尚不完整）[PARAGRAPH:2][BOLD]大使馆。[\\BOLD]各国如今可以在他国设立大使馆。大使馆会随时间改善两国间的外交关系，但请注意：撤销外国大使馆的权利会给与该国的外交带来灾难性的后果。如今，要解锁与他国更高级的外交功能——即[COLOR_HIGHLIGHT_TEXT]开放边境协定[COLOR_REVERT]、[COLOR_HIGHLIGHT_TEXT]防御同盟[COLOR_REVERT]以及一些新选项（见下文）——都需要先设立大使馆。需要[LINK=TECH_WRITING]文字[\\LINK]。[PARAGRAPH:2] [BOLD]通行权。[\\BOLD]与开放边境类似，同样允许外国通行，但该协定只允许防御单位和侦察兵通过本国领土。其他单位无法进入。需要[LINK=TECH_WRITING]文字[\\LINK]。[PARAGRAPH:2][BOLD]自由贸易协定。[\\BOLD]该协定提升贸易任务所得的金钱，并随时间改善外交关系。需要[LINK=TECH_WRITING]文字[\\LINK]与[COLOR_HIGHLIGHT_TEXT]开放边境[COLOR_REVERT]。[PARAGRAPH:2] [BOLD]互不侵犯条约。[\\BOLD]AI 攻击与其签有互不侵犯条约的玩家的可能性会略微降低，同时也随时间改善外交关系。需要[LINK=TECH_WRITING]文字[\\LINK]与[COLOR_HIGHLIGHT_TEXT]大使馆[COLOR_REVERT]。[PARAGRAPH:2][BOLD]交易军事单位与工人。[\\BOLD]工人以及某些军事单位（如攻城器械）可被交易。每种可交易的单位都会在其对应的文明百科条目中标注&quot;此单位可被交易。&quot;需要[COLOR_HIGHLIGHT_TEXT]大使馆[COLOR_REVERT]。
TXT_KEY_MEMORY_BACKSTAB	&quot;你背叛了我们！&quot;
TXT_KEY_MEMORY_BACKSTAB_FRIEND	&quot;你这个叛徒！&quot;
TXT_KEY_MEMORY_BROKEN_AGREEMENT	&quot;你不值得信任。&quot;
TXT_KEY_MEMORY_MADE_PEACE	&quot;你已证明自己是致力于和平的。&quot;
TXT_KEY_MEMORY_RECALLED_AMBASSADOR	&quot;你召回了你的大使！&quot;
TXT_KEY_MEMORY_TRADED_POW	&quot;你归还了我们失踪的士兵！&quot;
TXT_KEY_MEMORY_KEPT_POW	&quot;你非法扣留了我们被俘的士兵！&quot;
TXT_KEY_MEMORY_CANCELLED_NON_AGGRESSION	&quot;你撕毁了我们的互不侵犯条约！&quot;
TXT_KEY_MEMORY_CANCELLED_FREE_TRADE_AGREEMENT	&quot;你提高了我们的贸易关税！&quot;
TXT_KEY_MEMORY_YOU_POLLUTE	&quot;我们为你造成的环境破坏付出了高昂代价！&quot;
TXT_KEY_MEMORY_WORKED_PLOT	&quot;你改良了我们的土地！&quot;
TXT_KEY_MEMORY_KEPT_OUT_CITY	&quot;你保住了我们的城市！&quot;
TXT_KEY_MEMORY_WARMONGER	&quot;你是个战争贩子！&quot;
TXT_KEY_MISC_ATTITUDE_NON_AGGRESSION	%D1：&quot;我们的互不侵犯条约保障了和平。&quot;
TXT_KEY_MISC_ATTITUDE_FREE_TRADE_AGREEMENT	%D1：&quot;我们的自由贸易协定推动了双方的经济。&quot;
TXT_KEY_MISC_ATTITUDE_EMBASSY	%D1：&quot;你允许我们的大使入驻。&quot;
TXT_KEY_MISC_ATTITUDE_RIGHT_PASSAGE	%D1：&quot;你允许我们的人民通过你的领土。&quot;
TXT_KEY_MISC_CORPORATION_TRADE	%s2_Civ1已将%s1_Corp卖给%s3_Civ2
TXT_KEY_MISC_EMBASSY	大使馆
TXT_KEY_MISC_PREPARE_WAR	准备对其开战
TXT_KEY_MISC_ENABLES_EMBASSIES	[ICON_BULLET]启用大使馆贸易
TXT_KEY_MISC_ENABLES_LIMITED_BORDERS	[ICON_BULLET]启用通行权
TXT_KEY_MISC_FREE_TRADE_ZONE	自由贸易协定
