TXT_KEY_PEDIA_CATEGORY_MINOR_LEADER	次要领袖
TXT_KEY_LEADER_ANAGANTIOS_PEDIA	阿拉加休斯出现在官方剧本中,若启用了「革命」游戏选项,他也可以领导一场革命。
TXT_KEY_LEADER_AVERAX_PEDIA	诅咒之子·爱华拉克斯出现在官方剧本中,若启用了「革命」游戏选项,他也可以领导一场革命。
TXT_KEY_LEADER_DUIN_PEDIA	狼人杜因·哈夫蒙出现在官方剧本中,若启用了「革命」游戏选项,他也可以领导一场革命。
TXT_KEY_LEADER_BRAEDEN_PEDIA	沉默者布雷登出现在官方剧本中,若启用了「革命」游戏选项,他也可以领导一场革命。
TXT_KEY_LEADER_OSTANES_PEDIA	欧斯坦斯队长出现在官方剧本中,若启用了「革命」游戏选项,他也可以领导一场革命。
TXT_KEY_LEADER_ULDANOR_PEDIA	乌达诺尔队长出现在官方剧本中,若启用了「革命」游戏选项,他也可以领导一场革命。
TXT_KEY_LEADER_SALLOS_PEDIA	萨洛斯公爵出现在官方剧本中。[NEWLINE][NEWLINE][TAB]萨洛斯本是帕特里亚帝国边陲一个又小又阴郁的公国里的一名士兵。他厌倦了自己那种他认为毫无意义的生活。当他捕获一名欢乐舞者时,便将这生物献祭,盼望有什么存在能听见他的呼唤。他的呼唤被听见了,海勃雷姆作出回应,以七年的权势为交换,换取他及其后裔的永世奴役(当时他的妻子正怀着他们的儿子阿斯莫迪)。萨洛斯接受了。[PARAGRAPH:1]在那七年里,萨洛斯一路攀升,成为帕特里亚的一位公爵。期限一到,他便骤然死去;熬过地狱的种种折磨后,他在那里同样成了统治者。[PARAGRAPH:1]一个凡人的灵魂能在恶魔的位阶中升为公爵,实属罕见。他之所以能维持这一地位,是因为他的后裔始终虔诚地恪守萨洛斯的誓约。他们结成了一个名为「萨列奥斯之女」的家族秘密结社,以恶魔崇拜与乱伦为本(以保持萨洛斯血脉的纯正)。
TXT_KEY_LEADER_DUMANNIOS_PEDIA	杜曼尼奥斯出现在官方剧本中,若启用了「革命」游戏选项,他也可以领导一场革命。
TXT_KEY_LEADER_FURIA_PEDIA	疯狂者芙蕾亚出现在官方剧本中,若启用了「革命」游戏选项,她也可以领导一场革命。
TXT_KEY_LEADER_GOSEA_PEDIA	高希出现在官方剧本中,若启用了「革命」游戏选项,他也可以领导一场革命。
TXT_KEY_LEADER_HAFGAN_PEDIA	流放者哈弗干出现在官方剧本中,若启用了「革命」游戏选项,他也可以领导一场革命。
TXT_KEY_LEADER_JUDECCA_PEDIA	朱迪卡出现在官方剧本中。
TXT_KEY_LEADER_KANE_PEDIA	凯恩出现在官方剧本中,若启用了「革命」游戏选项,他也可以领导一场革命。
TXT_KEY_LEADER_LETHE_PEDIA	莱丝,悲痛女王出现在官方剧本中。
TXT_KEY_LEADER_MAHON_PEDIA	屠夫玛洪出现在官方剧本中,若启用了「革命」游戏选项,他也可以领导一场革命。
TXT_KEY_LEADER_MALCHAVIC_PEDIA	马加别克出现在官方剧本中,若启用了「革命」游戏选项,他也可以领导一场革命。
TXT_KEY_LEADER_MELISANDRE_PEDIA	梅里山德雷出现在官方剧本中,若启用了「革命」游戏选项,她也可以领导一场革命。
TXT_KEY_LEADER_MERESIN_PEDIA	梅尔森出现在官方剧本中。[NEWLINE][NEWLINE][TAB]又称「低语之父」。梅尔森曾是一家孤儿院的院长,却对由他照管的孩子们百般虐待。他会把孤儿院的「服务」提供给周边的城市,随后谎称孩子们已经逃走,而实际上大多数孩子都被锁在孤儿院地下,直到他们再也无法取悦他,便被活活烧死在孤儿院的火化炉里。他会用带倒刺的连枷抽打孩子,偶尔也抽打自己。[PARAGRAPH:1]尽管有人对他展开过调查,也有几个孩子险些逃脱,梅尔森却始终未被抓获,一生中折磨并杀害了数百名儿童。直到一场瘟疫在城中蔓延,梅尔森开始收容新近失去双亲(且染病)的孩子,他自己也染上了那使他丧命的瘟疫。随后镇上的人才发现那间地窖——里面仍有孩子被关在笼中,地面铺满了灰烬与骸骨。[PARAGRAPH:1]那座孤儿院至今仍被死在此处的孩子们的亡魂所纠缠。徘徊在火化炉里的鬼魂,以及盘踞在地窖中的「暗中呼唤者」。过于靠近这片废墟的孩子(尤其在夜里)会被引向其中。一位埃洛希姆女祭司曾在重生纪元试图净化这片废墟,却在尝试中丧命,如今她的灵魂在这一带游荡,想找到另一个能破除诅咒的人。[PARAGRAPH:1]死后,梅尔森化为一名恶魔,他专注于离家出走者。他是从阴影中呼唤的声音,是迷途者的慰藉,也是煽动怒火、教唆孩子背叛父母的声音。他仍带着那把带倒刺的连枷。若梅尔森被召唤出来,他能以一种令敌人渗血流汗的疾病诅咒他们,或激起他们的欲念,但他索要一名活生生的孩子作为交换。
TXT_KEY_LEADER_KOUN_PEDIA	权臣寇恩可在一次「某座城市向你的文明请求自由」的事件之后进入游戏。他有 50% 的几率要么加入母国文明的队伍,要么保持独立(该几率在游戏开始时确定)。让权臣寇恩登场的这一事件,大约只会在所有对局的三分之一中出现。除特性外,权臣寇恩的一切属性都以母国文明为基础(因此他共享相同的独特建筑、独特单位、文明特性与世界法术)。他会以掌控那座解放城市的方式开局,并拥有 4 名弓箭手和 1 名工人。权臣寇恩出现在官方剧本中,若启用了「革命」游戏选项,他也可以领导一场革命。
TXT_KEY_LEADER_OUZZA_PEDIA	领主瞿札出现在官方剧本中。[NEWLINE][NEWLINE][TAB]当阿斯莫迪要求每个村庄献上一名孩子时,瞿札所在的村庄(包括他自己的父亲)把他献了出去,以讨好那位势大的公爵。先是他的心智被献祭——他被迫饮下一瓶经过祝圣的血神之酒;随后他的肉体被一片片地献祭。最后,在他奄奄一息之际,他的灵魂被献给了阿加雷斯。[PARAGRAPH:1]阿加雷斯接受了这份献礼。最终,瞿札化作恶魔归来,向那些如此轻易将他献出的村民索取属于他们的一部分。从有的人那里取走舌头,从有的人那里取走眼睛,从有的人那里取走一部分心智或灵魂。[PARAGRAPH:1]战斗中,瞿札能从活体目标的身体内部召出毒蛇,他的凝视会使人瘫痪。他随身带着一把血淋淋的砍刀,用来砍下肢体,还有一把用于取出内脏的仪式刀——他通常趁受害者仍然活着、且处于瘫痪状态时动手。瞿札的魔法对那些甘愿牺牲自己以拯救他人的人不起作用。[PARAGRAPH:1]瞿札(又称「祭坛的呼唤」或「唤肉者」)会回应那些失去了某个身体部位之人的祈祷,并能为其提供一个替代品——尽管是腐坏的版本;而他会向呼唤他的人索取某种形式的亲身献祭。
TXT_KEY_LEADER_RIUROS_PEDIA	里奥罗斯出现在官方剧本中,若启用了「革命」游戏选项,他也可以领导一场革命。
TXT_KEY_LEADER_RIVANNA_PEDIA	厉鬼之王瑞安那出现在官方剧本中,若启用了「革命」游戏选项,她也可以领导一场革命。
TXT_KEY_LEADER_SHEKINAH_PEDIA	斯金娜出现在官方剧本中,若启用了「革命」游戏选项,她也可以领导一场革命。
TXT_KEY_LEADER_STATIUS_PEDIA	救世主斯得第乌斯出现在官方剧本中。
TXT_KEY_LEADER_TETHIRA_PEDIA	特锡拉出现在官方剧本中,若启用了「革命」游戏选项,她也可以领导一场革命。
TXT_KEY_LEADER_THESSALONICA_PEDIA	泰莎罗尼卡出现在官方剧本中,若启用了「革命」游戏选项,她也可以领导一场革命。
TXT_KEY_LEADER_TYA_PEDIA	提雅·熙莱出现在官方剧本中,若启用了「革命」游戏选项,她也可以领导一场革命。
TXT_KEY_LEADER_VOLANNA_PEDIA	伯兰娜出现在官方剧本中,若启用了「革命」游戏选项,她也可以领导一场革命。
TXT_KEY_LEADER_WEEVIL_PEDIA	维伊、皮克和海德出现在官方剧本中,若启用了「革命」游戏选项,他们也可以领导一场革命。
TXT_KEY_CONCEPT_MULTIPLE_PRODUCTION	多重生产
TXT_KEY_CONCEPT_MULTIPLE_PRODUCTION_PEDIA	[H1]多重生产[\\H1][PARAGRAPH:2]这一游戏选项改变了城市中生产溢出的处理方式。当生产溢出超过溢出上限而外流时,它会立即用于生产队列中的下一项,而不再转换为金钱。当一座城市的生产溢出足以完成生产队列中的下一项或多项时,它们也会在同一回合内完成。[PARAGRAPH:2]此规则不适用于仪式与奇观,因为那样会允许玩家先累积溢出,待其条件满足后更快地建成它们。生产溢出不会在普通生产与用食物生产的项目之间相互结转,反之亦然,因为那样会允许玩家通过累积足够的溢出来避免城市停止增长。用食物生产的项目之间会像普通生产那样相互结转生产溢出。
TXT_KEY_GAME_OPTION_MULTIPLE_PRODUCTION	多重生产
TXT_KEY_GAME_OPTION_MULTIPLE_PRODUCTION_HELP	当一座城市的生产足以完成不止一个项目时,它每回合可以生产多个项目。
TXT_KEY_MISC_LOST_PROD_CONVERTED	%s1_CityName 已无法再结转 [ICON_PRODUCTION] 溢出。损失的 %d2_NumProduction[ICON_PRODUCTION] 被转换为 %d3_NumGold[ICON_GOLD]!
TXT_KEY_CITY_FOUNDED	建立:%s1
TXT_KEY_MISC_SOMEONE_CREATED_UNIT	%s1_PlyrName 创造了 %s2_UnitName!
TXT_KEY_POPUP_RELIGION_SPREAD	[COLOR_HIGHLIGHT_TEXT]%s1_RelName[COLOR_REVERT] 已在你的领土上传播开来!
TXT_KEY_MISC_REL_FOUNDED	%s1_RelName 已在 %s2_CityName 创立!
TXT_KEY_MISC_REL_FOUNDED_UNKNOWN	%s1_RelName 已在一片遥远的土地上创立!
TXT_KEY_MISC_REL_IS_FOUNDED	%F1_RelIcon 于 %s2_CityName 创立
TXT_KEY_MISC_REL_FOUNDED_MOVIE	你创立了 %s1_religion
TXT_KEY_MISC_PLAYER_CONVERT_RELIGION	%s1_PlyrName 改信 [COLOR_HIGHLIGHT_TEXT]%s2_RelName[COLOR_REVERT]!
TXT_KEY_MISC_CONVERT_TO_REL	改信 %s1_RelName
TXT_KEY_MISC_CANNOT_CONVERT_TO	无法改信 [COLOR_HIGHLIGHT_TEXT]%s1_RelName[COLOR_REVERT]
TXT_KEY_MISC_RELIGION_SPREAD	[COLOR_HIGHLIGHT_TEXT]%s1_RelName[COLOR_REVERT] 已在 %s2_CityName 传播。
TXT_KEY_CIV_BARBARIAN_DESC	蛮族国家
TXT_KEY_TRAIT_EXPANSIVE	扩张
TXT_KEY_TRAIT_EXPANSIVE_SHORT	扩张
TXT_KEY_PEDIA_TRAITS	特性
TXT_KEY_MISC_DECLARED_WAR_ON_YOU	%s1_PlyrName 向你宣战了!
TXT_KEY_CONCEPT_PROMOTIONS	晋升
TXT_KEY_TIME_TURN_SAVE	回合-%s1_TurnNum
TXT_KEY_TIME_TURN_STANDALONE	第 %d1_TurnNum 回合
TXT_KEY_WB_PROMOTIONS	晋升
TXT_KEY_MISC_CITY_CAPTURED_BY	%s1_CityName 已被 %s2_CivName 占领!!!
TXT_KEY_GAME_OPTION_PUPPET_STATES	傀儡国
TXT_KEY_GAME_OPTION_PUPPET_STATES_HELP	允许创建傀儡国
TXT_KEY_CONCEPT_PUPPET_STATES	傀儡国
TXT_KEY_CONCEPT_PUPPET_STATES_PEDIA	[H1]傀儡国[\\H1][PARAGRAPH:2]当一个掌握了组建附庸国之法的文明占领一座城市时,便可组建傀儡国。傀儡国作为占领方玩家的附庸而产生,其文明类型与该城原主人相同。傀儡国是一种特殊的附庸:它们不会获得宫殿,并且会永久作为附庸,除非它们取得「正统地位」。当一个傀儡国成为其文明类型下最后仅存的文明时,它便取得正统地位。届时它将由傀儡国转为普通附庸。
TXT_KEY_MISC_ENABLES_PUPPET_STATES	[ICON_BULLET]启用傀儡国
TXT_KEY_POPUP_CREATE_PUPPET_STATE	在 %s2_City 组建一个亲 %s1 的国家
TXT_KEY_MEMORY_MADE_PUPPET	&quot;我们的权势归功于你。&quot;
TXT_KEY_MISC_MAKE_PUPPET	%s2_City 中的 %s1_CivAdj 势力已推举 %s3_Leader 为新的 %s4_Civ 政府的领袖!
TXT_KEY_POPUP_RETURN_PUPPET_CITY	不,把控制权交给我们的 %s1_CivName 盟友
TXT_KEY_GAME_OPTION_NO_INQUISITIONS	无宗教审判
TXT_KEY_GAME_OPTION_NO_INQUISITIONS_HELP	禁用宗教审判。无法训练审判官,也无法为降低叛乱威胁而清洗非国教。
TXT_KEY_BUILDING_UNIT_UPGRADE_COST_MOD	[ICON_BULLET]升级单位所需 [ICON_GOLD] 变化 %D1_Mod%%
TXT_KEY_UNIT_COLLATERAL_DAMAGE_REVDCM	[ICON_BULLET]造成溅射伤害(至多对 %d2 个单位造成 %d1%)
TXT_KEY_CIVIC_DISALLOW_INQUISITONS	[ICON_BULLET]禁用 [LINK=literal]宗教审判[\\LINK] 能力
TXT_KEY_CAPTURED_WONDER	%s1 已夺取 %s2!
TXT_KEY_YOU_CAPTURED_WONDER	你已夺取 %s2!
TXT_KEY_DESTROYED_WONDER	%s1 已摧毁 %s2!
TXT_KEY_YOU_DESTROYED_WONDER	你已摧毁 %s2!
TXT_KEY_POPUP_HYBOREMS_WHISPER_SELECT	[ICON_BULLET]选择 %s1 的城市
TXT_KEY_BUILDING_REQUIRES_NUM_SPECIAL_BUILDINGS	[COLOR_WARNING_TEXT]需要 [LINK=literal]%s1_Name[\\LINK](共 %d2_NumCurr/%d3_NumTotal)[COLOR_REVERT]
TXT_KEY_BUILDING_REQUIRES_NUM_SPECIAL_BUILDINGS_NO_CITY	[COLOR_WARNING_TEXT]需要 [LINK=literal]%s1_Name[\\LINK](共 %d2_NumTotal)[COLOR_REVERT]
TXT_KEY_TERRAIN_TURN_DAMAGE	[NEWLINE][ICON_BULLET]每回合 %D1%% 伤害
TXT_KEY_TERRAIN_TURN_HEALING	[NEWLINE][ICON_BULLET]每回合 %D1%% 治疗
TXT_KEY_VERSION	[COLOR_ALT_HIGHLIGHT_TEXT]MagisterModmod - 2023 年 10 月 20 日,基于 More Naval AI v2.9.1u[COLOR_REVERT]
